Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating,Driving_Duration_hrs,Average_Speed_kmh,Acceleration_Pattern,Braking_Pattern,Route_Type,Time_of_Day,Weather_Conditions,Vehicle_Load,Driving_Style,Safety_Features_Usage,Traffic_Violations,Reliability_Rating,Recalls,Service_History,Electronics_Quality,Manufacturer_Reputation_Score,Engine_Quality_Score,Transmission_Quality_Score,Electronics_Quality_Score,Avg_Engine_RPM
2024,Audi,A3 40 TFSI quattro,Subcompact,2,4,AM,CNG,9.2,6.9,8.1,35,191,6,7,8,125,Conservative,Hard,Rural,Morning,Snowy,Moderate load,Conservative,Airbags,5,11,1,Major repairs,Good,8,7,9,9,2983
2024,Audi,A4 45 TFSI quattro,Compact,2,4,AM,Gasoline,10,7.4,8.8,32,208,5,5,3,78,Aggressive,Gentle,Mixed,Morning,Clear,Heavy load,Moderate,Cruise control,0,8,2,Major repairs,Good,6,11,6,9,1134
2024,Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2,4,AM,Gasoline,10.3,7.8,9.2,31,215,5,5,5,102,Aggressive,Gentle,Mixed,Night,Rainy,Heavy load,Conservative,Cruise control,1,7,0,Major repairs,Very Good,10,7,9,9,4089
2024,Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2,4,AM,Gasoline,9.8,7.1,8.6,33,202,5,5,2,141,Aggressive,Gentle,Rural,Evening,Clear,Heavy load,Aggressive,Cruise control,5,7,1,Major repairs,Good,7,9,7,7,3073
2024,Audi,A5 Coup� 45 TFSI quattro,Subcompact,2,4,AM,Gasoline,10,7.4,8.8,32,208,5,5,2,82,Moderate,Hard,Mixed,Night,Cloudy,Light load,Aggressive,Seat belts,5,10,3,Regular servicing,Average,9,10,9,9,1334
2024,Audi,A5 Sportback 45 TFSI quattro,Mid-size,2,4,AM,Gasoline,10,7.4,8.8,32,208,5,5,5,83,Conservative,Gentle,Rural,Evening,Cloudy,Full load,Aggressive,Seat belts,5,5,1,Regular servicing,Average,9,10,7,10,2633
2024,Audi,A6 45 TFSI quattro,Mid-size,2,4,AM,Gasoline,10.4,7.2,9,31,210,5,5,8,116,Moderate,Hard,Highway,Afternoon,Clear,Light load,Moderate,Cruise control,4,10,0,Major repairs,Very Good,9,11,6,7,2361
2024,Audi,A6 55 TFSI quattro,Mid-size,3,6,AM,Gasoline,10.9,8,9.6,29,225,5,5,9,127,Aggressive,Gentle,Mixed,Morning,Clear,Heavy load,Conservative,Cruise control,4,5,0,Major repairs,Good,9,6,10,9,3540
2024,Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3,6,AM,Gasoline,10.9,8,9.6,29,225,5,5,6,77,Conservative,Gentle,Rural,Night,Cloudy,Full load,Moderate,ABS,2,9,3,Regular servicing,Good,9,10,7,8,4440
2024,Audi,A7 Sportback 55 TFSI quattro,Mid-size,3,6,AM,Gasoline,10.9,8,9.6,29,225,5,5,2,137,Conservative,Gentle,Mixed,Afternoon,Cloudy,Light load,Conservative,Cruise control,5,10,3,Major repairs,Average,9,10,8,6,1969
2024,Audi,A8 L 55 TFSI quattro,Full-size,3,6,AS,Gasoline,12.4,8.4,10.6,27,249,5,5,2,75,Moderate,Normal,Urban,Morning,Snowy,Moderate load,Aggressive,ABS,5,11,3,Minimal maintenance,Average,8,10,7,8,3704
2024,Audi,Q3 40 TFSI quattro,Sport utility vehicle: Small,2,4,AS,CNG,10.7,8.1,9.5,30,224,5,6,5,57,Conservative,Gentle,Urban,Night,Cloudy,Moderate load,Moderate,ABS,0,7,2,Minimal maintenance,Excellent,9,9,7,10,2150
2024,Audi,Q3 45 TFSI quattro,Sport utility vehicle: Small,2,4,AS,CNG,11.5,8.5,10.2,28,239,5,7,8,61,Moderate,Normal,Highway,Morning,Cloudy,Full load,Moderate,ABS,5,10,3,Regular servicing,Very Good,11,9,8,9,2439
2024,Audi,Q5 40 TFSI quattro,Sport utility vehicle: Small,2,4,AM,Gasoline,10.1,8,9.2,31,215,5,5,5,82,Aggressive,Hard,Rural,Morning,Snowy,Light load,Aggressive,Cruise control,5,10,2,Regular servicing,Very Good,8,8,8,10,4253
2024,Audi,Q5 45 TFSI quattro,Sport utility vehicle: Small,2,4,AM,Gasoline,11,8.5,9.9,29,230,5,5,3,52,Conservative,Hard,Highway,Evening,Clear,Moderate load,Moderate,Cruise control,3,11,0,Very often,Average,7,10,6,6,3140
2024,Audi,Q5 Sportback 45 TFSI quattro,Sport utility vehicle: Small,2,4,AM,Gasoline,11,8.5,9.9,29,230,5,5,9,141,Conservative,Gentle,Rural,Evening,Clear,Light load,Aggressive,Seat belts,2,8,3,Regular servicing,Excellent,8,6,11,9,1829
2024,Audi,Q7 45 TFSI quattro,Sport utility vehicle: Standard,2,4,AS,Gasoline,12.3,9.4,11,26,258,4,5,6,89,Moderate,Normal,Mixed,Afternoon,Clear,Light load,Moderate,ABS,3,9,1,Very often,Average,6,8,9,9,4705
2024,Audi,Q7 55 TFSI quattro,Sport utility vehicle: Standard,3,6,AS,Gasoline,12.7,9.8,11.4,25,268,4,5,10,105,Moderate,Hard,Rural,Evening,Rainy,Light load,Aggressive,ABS,3,7,1,Minimal maintenance,Excellent,6,9,9,8,2061
2024,Audi,Q8 55 TFSI quattro,Sport utility vehicle: Standard,3,6,AS,Gasoline,13.6,10.4,12.1,23,285,4,5,2,109,Aggressive,Normal,Mixed,Afternoon,Snowy,Heavy load,Moderate,Seat belts,5,10,2,Regular servicing,Good,11,8,8,8,4218
2024,Audi,RS 5 Coup�,Subcompact,2.9,6,AS,Gasoline,12.9,9.3,11.3,25,264,4,5,4,84,Conservative,Hard,Urban,Evening,Clear,Heavy load,Aggressive,ABS,1,11,1,Very often,Good,8,6,6,9,2730
2024,Audi,RS 5 Sportback,Mid-size,2.9,6,AS,Gasoline,13.3,9.6,11.6,24,272,4,5,9,81,Conservative,Gentle,Urban,Afternoon,Rainy,Heavy load,Moderate,Cruise control,3,7,1,Minimal maintenance,Excellent,7,11,10,10,2288
2024,Audi,RS 6 Avant performance,Station wagon: Mid-size,4,8,AS,Gasoline,16.9,11,14.2,20,335,3,3,3,85,Conservative,Gentle,Urban,Evening,Snowy,Full load,Aggressive,Seat belts,4,6,3,Very often,Average,9,8,9,7,1519
2024,Audi,RS 7 Sportback performance,Mid-size,4,8,AS,Gasoline,16.9,11,14.2,20,335,3,3,8,103,Conservative,Hard,Highway,Morning,Clear,Moderate load,Conservative,Cruise control,4,5,1,Very often,Good,8,11,11,7,2548
2024,Audi,RS Q8,Sport utility vehicle: Standard,4,8,AS,Gasoline,17.7,12.4,15.3,18,357,2,3,5,109,Aggressive,Gentle,Rural,Night,Rainy,Moderate load,Moderate,Airbags,0,10,0,Major repairs,Good,8,11,8,9,2332
2024,Audi,S3 quattro,Subcompact,2,4,AM,Gasoline,10.2,7.4,8.9,32,208,5,5,2,73,Conservative,Normal,Urban,Night,Rainy,Heavy load,Moderate,Airbags,0,8,3,Very often,Very Good,10,11,7,6,4895
2024,Audi,S4 quattro,Compact,3,6,AS,Gasoline,11.1,8.1,9.7,29,228,5,5,6,106,Conservative,Gentle,Urban,Afternoon,Rainy,Light load,Aggressive,ABS,0,6,2,Very often,Excellent,10,6,9,10,1781
2024,Audi,S5 Cabriolet quattro,Subcompact,3,6,AS,Gasoline,11.9,8.8,10.5,27,247,5,5,3,120,Aggressive,Hard,Highway,Evening,Cloudy,Heavy load,Moderate,Airbags,2,6,2,Very often,Very Good,11,10,11,6,1210
2024,Audi,S5 Coup� quattro,Subcompact,3,6,AS,Gasoline,11.1,8.1,9.7,29,228,5,5,5,139,Moderate,Normal,Mixed,Evening,Rainy,Heavy load,Moderate,ABS,5,7,0,Minimal maintenance,Excellent,11,8,8,11,4676
2024,Audi,S5 Sportback quattro,Mid-size,3,6,AS,Gasoline,11.8,8.2,10.2,28,238,5,5,8,104,Moderate,Gentle,Highway,Night,Snowy,Heavy load,Conservative,Seat belts,3,10,1,Major repairs,Very Good,9,8,7,11,3135
2024,Audi,S6 quattro,Mid-size,2.9,6,AS,Gasoline,12.3,8.8,10.7,26,252,5,5,6,137,Aggressive,Normal,Urban,Evening,Cloudy,Light load,Moderate,ABS,3,9,1,Regular servicing,Very Good,8,9,9,10,1649
2024,Audi,S7 quattro,Mid-size,2.9,6,AS,Gasoline,12.3,8.8,10.7,26,252,5,5,3,107,Moderate,Gentle,Highway,Afternoon,Clear,Full load,Moderate,ABS,5,10,3,Minimal maintenance,Very Good,7,7,10,6,4153
2024,Audi,S8 quattro,Full-size,4,8,AS,Gasoline,16,10,13.3,21,312,4,3,6,71,Aggressive,Hard,Rural,Evening,Cloudy,Full load,Moderate,Seat belts,3,10,3,Regular servicing,Average,8,9,10,8,2702
2024,Audi,SQ5 quattro,Sport utility vehicle: Small,3,6,AS,Gasoline,12.6,9.8,11.4,25,266,4,5,6,100,Moderate,Hard,Rural,Evening,Snowy,Light load,Moderate,ABS,4,9,3,Minimal maintenance,Very Good,8,8,7,9,4613
2024,Audi,SQ5 Sportback quattro,Sport utility vehicle: Small,3,6,AS,Gasoline,12.6,9.8,11.4,25,266,4,5,5,73,Conservative,Normal,Rural,Evening,Clear,Full load,Aggressive,Cruise control,4,6,3,Very often,Excellent,11,7,7,8,3006
2024,Audi,SQ7 quattro,Sport utility vehicle: Standard,4,8,AS,Gasoline,16,11.5,13.9,20,326,3,3,2,150,Conservative,Normal,Highway,Evening,Clear,Moderate load,Conservative,Airbags,3,11,2,Regular servicing,Very Good,6,11,10,8,3358
2024,Audi,SQ8 quattro,Sport utility vehicle: Standard,4,8,AS,Gasoline,15.6,11.5,13.8,20,322,3,3,2,114,Moderate,Normal,Urban,Morning,Clear,Light load,Conservative,Cruise control,1,8,3,Major repairs,Excellent,6,7,7,7,1443
2024,Bentley,Bentayga,Sport utility vehicle: Standard,4,8,AS,Gasoline,17.1,11.4,14.6,19,343,3,3,3,82,Aggressive,Normal,Rural,Afternoon,Clear,Light load,Moderate,Cruise control,5,10,3,Very often,Good,7,7,9,6,3617
2024,Bentley,Bentayga EWB,Sport utility vehicle: Standard,4,8,AS,Gasoline,17.1,11.4,14.6,19,343,3,3,3,84,Conservative,Normal,Rural,Morning,Snowy,Heavy load,Aggressive,Airbags,4,9,3,Regular servicing,Average,9,8,7,9,1499
2024,Bentley,Continental GT,Subcompact,4,8,AM,Gasoline,16.4,10.5,13.7,21,322,3,3,2,86,Conservative,Normal,Mixed,Night,Cloudy,Moderate load,Aggressive,Airbags,3,7,3,Regular servicing,Excellent,9,7,9,8,1068
2024,Bentley,Continental GT,Subcompact,6,12,AM,Gasoline,19.2,11.4,15.7,18,367,2,3,10,83,Moderate,Gentle,Rural,Night,Cloudy,Moderate load,Aggressive,ABS,5,5,1,Very often,Very Good,7,7,8,9,2400
2024,Bentley,Continental GT Convertible,Minicompact,4,8,AM,Gasoline,16.7,11.4,14.3,20,337,3,3,4,136,Aggressive,Normal,Urban,Morning,Cloudy,Light load,Moderate,Cruise control,4,8,1,Major repairs,Excellent,6,8,10,7,4122
2024,Bentley,Continental GT Convertible,Minicompact,6,12,AM,Gasoline,19.8,12.7,16.6,17,388,2,3,7,115,Aggressive,Hard,Mixed,Night,Clear,Heavy load,Aggressive,ABS,3,9,2,Very often,Average,10,9,8,9,2210
2024,Bentley,Flying Spur,Mid-size,4,8,AM,Gasoline,16.1,11.9,14.2,20,333,3,3,9,140,Moderate,Hard,Urban,Afternoon,Rainy,Heavy load,Conservative,Airbags,3,10,3,Major repairs,Excellent,10,10,9,8,2060
2024,Bentley,Flying Spur,Mid-size,6,12,AM,Gasoline,19.3,12.4,16.2,17,378,2,3,8,132,Moderate,Hard,Mixed,Morning,Rainy,Light load,Moderate,Seat belts,0,10,2,Very often,Average,7,6,10,10,3190
2024,BMW,230i xDrive Coupe,Subcompact,2,4,AS,Gasoline,9.6,7.1,8.4,34,195,6,3,8,104,Moderate,Gentle,Urban,Morning,Clear,Moderate load,Conservative,Cruise control,1,6,0,Minimal maintenance,Very Good,11,6,10,9,1129
2024,BMW,330i xDrive Sedan,Compact,2,4,AS,Gasoline,9.8,7,8.6,33,200,6,7,5,149,Moderate,Normal,Highway,Night,Rainy,Full load,Conservative,Cruise control,2,11,2,Major repairs,Excellent,7,7,6,7,2545
2024,BMW,430i xDrive Cabriolet,Subcompact,2,4,AS,Gasoline,10,7.1,8.7,32,203,5,7,5,114,Moderate,Normal,Rural,Afternoon,Cloudy,Moderate load,Aggressive,Airbags,4,7,1,Very often,Good,9,8,9,7,2108
2024,BMW,430i xDrive Coupe,Subcompact,2,4,AS,Gasoline,10,7.1,8.7,32,203,5,7,2,124,Moderate,Normal,Urban,Evening,Cloudy,Moderate load,Moderate,Cruise control,4,7,3,Major repairs,Excellent,7,7,10,10,3359
2024,BMW,530i xDrive Sedan,Mid-size,2,4,AS,Gasoline,8.7,6.8,7.9,36,182,6,7,6,96,Moderate,Gentle,Mixed,Afternoon,Snowy,Full load,Moderate,Seat belts,3,10,0,Minimal maintenance,Good,7,7,7,9,2756
2024,BMW,760i xDrive Sedan,Full-size,4.4,8,AS,Gasoline,13.3,9.3,11.5,25,265,4,5,6,83,Conservative,Normal,Rural,Morning,Cloudy,Heavy load,Conservative,Seat belts,0,7,0,Major repairs,Good,6,7,6,6,3793
2024,BMW,ALPINA B8 Gran Coupe,Mid-size,4.4,8,AS,Gasoline,14.1,9.9,12.2,23,284,4,3,7,86,Conservative,Gentle,Highway,Afternoon,Cloudy,Light load,Aggressive,Airbags,2,9,1,Regular servicing,Very Good,9,9,9,10,3046
2024,BMW,ALPINA XB7,Sport utility vehicle: Standard,4.4,8,AS,Gasoline,15.2,11.6,13.6,21,314,4,5,9,106,Moderate,Gentle,Highway,Evening,Snowy,Full load,Aggressive,ABS,0,9,2,Major repairs,Average,7,11,7,9,3618
2024,BMW,M2 Coupe,Subcompact,3,6,AS,Gasoline,14.6,10.3,12.7,22,294,4,5,7,128,Aggressive,Gentle,Urban,Morning,Rainy,Full load,Aggressive,Cruise control,1,7,0,Very often,Average,10,8,8,10,3291
2024,BMW,M2 Coupe,Subcompact,3,6,M,Gasoline,14.3,10,12.4,23,287,4,5,2,101,Conservative,Hard,Urban,Morning,Cloudy,Light load,Moderate,ABS,2,9,2,Very often,Average,7,6,7,11,2483
2024,BMW,M240i xDrive Coupe,Subcompact,3,6,AS,Gasoline,10.4,7.4,9,31,210,5,5,10,108,Moderate,Normal,Rural,Night,Rainy,Moderate load,Aggressive,Cruise control,2,8,3,Regular servicing,Very Good,7,7,9,11,3144
2024,BMW,M3 Sedan,Compact,3,6,M,Gasoline,14.7,10.1,12.6,22,293,4,5,5,90,Aggressive,Hard,Urban,Night,Clear,Moderate load,Conservative,ABS,4,9,1,Regular servicing,Very Good,7,7,6,11,2998
2024,BMW,M3 Competition M xDrive Sedan,Compact,3,6,AS,Gasoline,14.6,10.5,12.7,22,296,4,5,7,133,Conservative,Normal,Highway,Evening,Snowy,Full load,Conservative,ABS,5,10,1,Major repairs,Excellent,8,6,8,7,3236
2024,BMW,M3 CS Sedan,Compact,3,6,AS,Gasoline,15.3,10.6,13.2,21,305,4,5,3,102,Moderate,Gentle,Rural,Afternoon,Snowy,Light load,Conservative,Cruise control,4,8,3,Regular servicing,Good,11,8,10,11,2114
2024,BMW,M340i xDrive Sedan,Compact,3,6,AS,Gasoline,10.4,7.5,9.1,31,212,5,5,10,88,Aggressive,Gentle,Mixed,Morning,Rainy,Light load,Aggressive,Cruise control,2,6,3,Major repairs,Excellent,6,7,11,8,2882
2024,BMW,M4 Competition M xDrive Cabriolet,Subcompact,3,6,AS,Gasoline,15.1,10.4,12.9,22,301,4,5,10,94,Moderate,Hard,Urban,Morning,Clear,Light load,Aggressive,Seat belts,5,9,3,Minimal maintenance,Good,8,8,7,7,2712
2024,BMW,M4 Competition M xDrive Coupe,Subcompact,3,6,AS,Gasoline,14.6,10.5,12.7,22,296,4,5,3,149,Moderate,Gentle,Highway,Afternoon,Cloudy,Light load,Aggressive,Seat belts,2,9,3,Minimal maintenance,Average,11,7,8,10,2949
2024,BMW,M4 Coupe,Subcompact,3,6,M,Gasoline,14.7,10.1,12.6,22,293,4,5,8,91,Aggressive,Hard,Urban,Night,Clear,Moderate load,Moderate,Seat belts,0,7,0,Major repairs,Very Good,7,8,10,6,1060
2024,BMW,M440i xDrive Cabriolet,Subcompact,3,6,AS,Gasoline,10.4,7.5,9.1,31,211,5,5,6,109,Aggressive,Normal,Highway,Evening,Rainy,Light load,Moderate,Seat belts,3,9,2,Minimal maintenance,Good,7,10,6,6,4176
2024,BMW,M440i xDrive Coupe,Subcompact,3,6,AS,Gasoline,10.7,7.5,9.3,30,216,5,5,4,54,Aggressive,Hard,Highway,Afternoon,Snowy,Moderate load,Aggressive,ABS,1,9,1,Minimal maintenance,Good,7,7,7,7,3896
2024,BMW,M8 Competition Cabriolet,Subcompact,4.4,8,AS,Gasoline,16,10.9,13.7,21,321,3,3,5,105,Moderate,Gentle,Urban,Evening,Clear,Light load,Aggressive,ABS,4,8,1,Minimal maintenance,Average,8,7,11,10,3609
2024,BMW,M8 Competition Coupe,Subcompact,4.4,8,AS,Gasoline,16,10.9,13.7,21,321,3,3,4,141,Conservative,Normal,Highway,Evening,Snowy,Heavy load,Conservative,Cruise control,2,7,0,Very often,Very Good,9,9,8,11,1177
2024,BMW,M8 Competition Gran Coupe,Mid-size,4.4,8,AS,Gasoline,16,10.9,13.7,21,321,3,3,7,105,Moderate,Gentle,Highway,Morning,Clear,Full load,Moderate,Cruise control,1,6,3,Minimal maintenance,Good,8,9,7,10,4823
2024,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS,Gasoline,14.1,9.9,12.2,23,284,4,3,9,126,Moderate,Hard,Rural,Night,Cloudy,Full load,Moderate,Seat belts,2,5,1,Major repairs,Very Good,9,7,9,8,4711
2024,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS,Gasoline,14.1,9.9,12.2,23,284,4,3,3,67,Moderate,Hard,Urban,Evening,Clear,Moderate load,Conservative,Seat belts,4,7,0,Regular servicing,Excellent,11,10,9,11,1361
2024,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS,Gasoline,14.1,9.9,12.2,23,284,4,3,4,90,Aggressive,Hard,Rural,Evening,Cloudy,Light load,Conservative,Airbags,5,7,3,Regular servicing,Excellent,10,8,8,9,1270
2024,BMW,X1 xDrive28i,Sport utility vehicle: Small,2,4,AM,Gasoline,9.6,7,8.4,34,195,6,8,8,96,Moderate,Hard,Rural,Morning,Rainy,Light load,Moderate,Cruise control,3,10,1,Very often,Very Good,8,7,9,6,4921
2024,BMW,X1 M35i xDrive,Sport utility vehicle: Small,2,4,AM,Gasoline,10.1,7.6,9,31,208,5,6,1,147,Aggressive,Normal,Rural,Morning,Rainy,Heavy load,Aggressive,Airbags,2,7,1,Major repairs,Average,8,8,8,11,2736
2024,BMW,X2 xDrive28i,Sport utility vehicle: Small,2,4,AM,Gasoline,9.7,7.1,8.5,33,198,6,8,1,61,Conservative,Gentle,Rural,Evening,Snowy,Heavy load,Aggressive,Cruise control,3,11,1,Minimal maintenance,Very Good,11,7,11,8,3088
2024,BMW,X2 M35i xDrive,Sport utility vehicle: Small,2,4,AM,Gasoline,10.3,7.3,8.9,32,207,5,6,10,142,Moderate,Normal,Urban,Morning,Clear,Heavy load,Moderate,Cruise control,3,10,0,Regular servicing,Good,6,8,10,6,4452
2024,BMW,X3 xDrive30i,Sport utility vehicle: Small,2,4,AS,Gasoline,11,8.4,9.9,29,229,5,7,2,148,Conservative,Hard,Highway,Afternoon,Rainy,Full load,Aggressive,Seat belts,4,8,3,Major repairs,Very Good,9,7,10,9,4655
2024,BMW,X3 M,Sport utility vehicle: Small,3,6,AS,Gasoline,15.7,11.7,13.9,20,323,3,3,9,108,Moderate,Gentle,Mixed,Night,Clear,Full load,Moderate,Seat belts,1,5,2,Minimal maintenance,Average,8,7,7,10,3097
2024,BMW,X3 M Competition,Sport utility vehicle: Small,3,6,AS,Gasoline,15.7,11.7,13.9,20,323,3,3,5,88,Moderate,Hard,Mixed,Evening,Rainy,Moderate load,Aggressive,Seat belts,3,7,3,Major repairs,Excellent,6,8,7,9,3823
2024,BMW,X3 M40i,Sport utility vehicle: Small,3,6,AS,Gasoline,10.9,9,10.1,28,235,5,5,8,101,Moderate,Gentle,Rural,Night,Rainy,Heavy load,Moderate,ABS,1,9,0,Regular servicing,Good,6,11,10,10,2252
2024,BMW,X4 xDrive30i,Sport utility vehicle: Small,2,4,AS,Gasoline,11,8.4,9.9,29,229,5,7,4,124,Moderate,Gentle,Urban,Evening,Clear,Heavy load,Moderate,Airbags,5,6,0,Very often,Very Good,9,8,9,9,1270
2024,BMW,X4 M,Sport utility vehicle: Small,3,6,AS,Gasoline,15.7,11.7,13.9,20,323,3,3,9,123,Aggressive,Hard,Highway,Afternoon,Snowy,Heavy load,Conservative,ABS,5,9,1,Minimal maintenance,Average,10,10,8,10,3913
2024,BMW,X4 M Competition,Sport utility vehicle: Small,3,6,AS,Gasoline,15.7,11.7,13.9,20,323,3,3,5,65,Aggressive,Normal,Highway,Afternoon,Clear,Moderate load,Moderate,Seat belts,1,5,2,Minimal maintenance,Average,8,6,7,11,4313
2024,BMW,X4 M40i,Sport utility vehicle: Small,3,6,AS,Gasoline,10.9,9,10.1,28,235,5,5,6,96,Moderate,Gentle,Rural,Morning,Rainy,Moderate load,Moderate,Cruise control,2,10,2,Major repairs,Average,9,7,10,7,4371
2024,BMW,X5 xDrive40i,Sport utility vehicle: Standard,3,6,AS,Gasoline,10.1,8.7,9.4,30,218,5,7,3,134,Conservative,Hard,Urban,Morning,Clear,Heavy load,Aggressive,ABS,4,6,3,Regular servicing,Average,10,7,8,10,3814
2024,BMW,X5 M Competition,Sport utility vehicle: Standard,4.4,8,AS,Gasoline,18.2,12.9,15.8,18,366,2,5,7,100,Aggressive,Hard,Rural,Night,Clear,Heavy load,Moderate,Seat belts,1,6,3,Minimal maintenance,Very Good,8,10,10,10,4713
